"","Identifier","Physiological.experiment.id","Date.id","Genus","Species","Collection.method","Control","Start.date","End.date","Nulliparous","X1P","X2P","X3P","X4P","X5P","X6P","X7P","X8P","X9P","X10P","X11P","X12P","X.threshold","Total","Total.in.paper.if.different","Threshold","Table.number","Figure.number","Digitise","Note","ID....concat","SpeciesName","SpeciesID"
"173",10,3,1,"Anopheles","bellator","Human landing",1,"01/05/1994","30/04/1995",336,100,0,0,0,0,0,0,0,0,0,0,0,0,436,NA,-1,"3","",0,"Indoor","10 3","Anopheles bellator",28
"174",10,4,1,"Anopheles","bellator","Human landing",1,"01/05/1994","30/04/1995",790,324,2,0,0,0,0,0,0,0,0,0,0,0,1116,NA,-1,"3","",0,"Outdoor","10 4","Anopheles bellator",28
"175",10,1,1,"Anopheles","cruzii","Human landing",1,"01/05/1994","30/04/1995",75,29,0,0,0,0,0,0,0,0,0,0,0,0,104,NA,-1,"2","",0,"Indoor","10 1","Anopheles cruzii",29
"176",10,2,1,"Anopheles","cruzii","Human landing",1,"01/05/1994","30/04/1995",235,113,1,0,0,0,0,0,0,0,0,0,0,0,349,NA,-1,"2","",0,"Outdoor","10 2","Anopheles cruzii",29
"177",57,1,1,"Anopheles","funestus","Indoor resting",1,"01/04/1995","30/04/1995",35,19,17,5,3,3,0,0,0,0,0,0,0,0,82,NA,-1,"3","",0,"","57 1","Anopheles funestus",30
"178",67,2,1,"Anopheles","funestus","PSC",1,"01/11/1962","31/12/1963",1551,815,698,421,269,132,68,20,10,6,1,0,0,2,3993,173,12,"3","",0,"","67 2","Anopheles funestus",30
"179",70,14,1,"Coquillettidia","perturbans","CDC light, net, human-landing",1,"01/08/1975","31/10/1975",9,11,3,0,0,0,0,0,0,0,0,0,0,0,23,NA,-1,"2","",0,"","70 14","Coquillettidia perturbans",31
"180",70,6,1,"Coquillettidia","perturbans","CDC light, net, human-landing",1,"01/05/1973","15/08/1974",47,28,0,0,0,0,0,0,0,0,0,0,0,0,75,NA,-1,"1","",0,"","70 6","Coquillettidia perturbans",31
"181",19,1,1,"Culex","tritaeniorhynchus","CDC light trap",1,"01/01/1993","31/12/1993",607,527,125,0,0,0,0,0,0,0,0,0,0,16,1275,NA,3,"1","",0,"","19 1","Culex tritaeniorhynchus",32
"182",29,1,1,"Culex","tritaeniorhynchus","Net",1,"01/06/1968","31/08/1973",4253,946,21,0,0,0,0,0,0,0,0,0,0,0,5220,70,-1,"1","",0,"","29 1","Culex tritaeniorhynchus",32
"183",70,1,1,"Aedes","abserratus-punctor","CDC light, net, human-landing",1,"01/05/1973","15/08/1974",223,89,23,0,0,0,0,0,0,0,0,0,0,0,335,NA,-1,"1","",0,"","70 1","Aedes abserratus-punctor",33
"184",49,2,1,"Aedes","communis",NA,1,"30/05/1955","31/08/1955",2056,2067,598,133,44,2,1,0,0,0,0,0,0,0,4901,2343,-1,"5","",0,"","49 2","Aedes communis",34
"185",39,1,1,"Aedes","provocans","Human landing",1,"13/05/1982","10/07/1983",610,606,38,2,0,0,0,0,0,0,0,0,0,0,1256,225,-1,"p116","",0,"Combined all dates","39 1","Aedes provocans",35
"186",70,12,1,"Aedes","triseriatus","CDC light, net, human-landing",1,"01/08/1975","31/10/1975",60,14,5,0,0,0,0,0,0,0,0,0,0,0,79,NA,-1,"2","",0,"","70 12","Aedes triseriatus",36
"187",46,1,1,"Anopheles","albimanus",NA,1,NA,NA,590,292,65,13,0,0,0,0,0,0,0,0,0,0,960,NA,-1,"","5",0,"Figure from 5c. Numbers inset","46 1","Anopheles albimanus",37
"188",42,2,1,"Anopheles","hyrcanus","Indoor resting",1,"01/01/1962","31/12/1962",10,33,13,7,0,0,0,0,0,0,0,0,0,0,63,63,-1,"5","",0,"Medium valley 2.","42 2","Anopheles hyrcanus",38
"189",42,1,1,"Anopheles","maculatus","Indoor resting",1,"01/01/1962","31/12/1962",23,48,28,9,2,1,0,0,0,0,0,0,0,0,111,110,-1,"5","",0,"High valley 1.","42 1","Anopheles maculatus",39
"190",27,1,1,"Anopheles",NA,"Light trap",1,"01/08/2012","31/12/2012",326,417,321,235,7,0,0,0,0,0,0,0,0,0,1306,NA,-1,"2,4","",0,"Got nulliparous from Table 2","27 1","Anopheles NA",40
"191",70,5,1,"Anopheles","punctipennis","CDC light, net, human-landing",1,"01/05/1973","15/08/1974",135,38,12,0,0,0,0,0,0,0,0,0,0,0,185,NA,-1,"1","",0,"","70 5","Anopheles punctipennis",41
"192",33,1,1,"Anopheles","sinensis","Human landing",1,"18/07/1974","19/07/1974",80,19,4,0,0,0,0,0,0,0,0,0,0,0,103,NA,-1,"2","",0,"Combined all times","33 1","Anopheles sinensis",42
"193",36,9,1,"Anopheles","vagus",NA,1,"01/01/1956","31/03/1957",367,1624,2247,1092,421,122,35,5,2,0,0,0,0,0,5915,NA,-1,"Appendix 1","",0,"","36 9","Anopheles vagus",43
"194",19,2,1,"Culex","gelidus","CDC light trap",1,"01/01/1993","31/12/1993",496,425,102,0,0,0,0,0,0,0,0,0,0,14,1037,NA,3,"1","",0,"","19 2","Culex gelidus",44
"195",70,7,1,"Culex","restuans","CDC light, net, human-landing",1,"01/05/1973","15/08/1974",122,49,0,0,0,0,0,0,0,0,0,0,0,0,171,NA,-1,"1","",0,"","70 7","Culex restuans",45
"196",24,1,1,"Downsiomyia","nivea","Human landing",1,"01/02/2000","31/01/2000",2767,659,172,27,0,0,0,0,0,0,0,0,0,0,3625,NA,-1,"1","",0,"","24 1","Downsiomyia nivea",46
"197",30,1,1,"Haemagogus","leucocelaenus","Human landing",1,"01/01/1981","30/09/1982",136,116,23,11,6,3,0,0,0,0,0,0,0,0,295,295,-1,"2","",0,"Combined all dates","30 1","Haemagogus leucocelaenus",47
"198",66,1,1,"Mansonia","africana","Flight trap",1,"07/01/1970","31/10/1970",327,58,29,11,2,2,3,0,0,0,0,0,0,0,432,432,-1,"3","",0,"","66 1","Mansonia africana",48
