Identifier,Study id,Season,Author,Year,Title,Country,Location,Method,Genus,Species,Temperature,1st central,1st lower,1st upper,2nd central,2nd lower,2nd upper,pre-gravid central,pre-gravid lower,pre-gravid upper,Location in article,Notes,Source,1st central detail,1st lower detail,1st upper detail,2nd central detail,2nd lower detail,2nd upper detail
26,7,April,Russell,1986,"Culex annulzrostris skuse at appin, NSW bionomics and behaviour",Australia,Appin,Laboratory,Culex,annulirostris,,6,5,7,6,5,7,,,,Table 1,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
26,8,May,Russell,1986,"Culex annulzrostris skuse at appin, NSW bionomics and behaviour",Australia,Appin,Laboratory,Culex,annulirostris,,9.5,7,12,9.5,7,12,,,,Table 1,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
27,1,NA,Chadee and Ritchie,2010,"Oviposition behaviour and parity rates of Aedes aegypti collected in sticky traps in
Trinidad, West Indies",Trinidad,St Augustine,Laboratory,Aedes,aegypti,,3,,,3,,,,,,215,,pdf,0.5,NA,NA,0.5,NA,NA
28,1,NA,Mahmood and Reisen,1981,"Duration of the gonotrophic cycles of anopheles culifacies giles and anopheles stephensi liston, with observations on reproductive activity and survivorship during winter in punjab province, pakistan",Pakistan,Punjab,Laboratory,Anopheles,culcifacies,18,5.79,5.58,6,4,3.28,4.72,6.44,6.27,6.61,Table 1,Assumed second gonotrophic cycle for all subsequent. Used time from emergence to oviposition to estimate pre-gravid,pdf,0.5,0.025,0.975,0.5,0.025,0.975
28,2,NA,Mahmood and Reisen,1981,"Duration of the gonotrophic cycles of anopheles culifacies giles and anopheles stephensi liston, with observations on reproductive activity and survivorship during winter in punjab province, pakistan",Pakistan,Punjab,Laboratory,Anopheles,culcifacies,22,3.51,3.38,3.64,2.48,2.28,2.68,,,,Table 1,Assumed second gonotrophic cycle for all subsequent,pdf,0.5,0.025,0.975,0.5,0.025,0.975
28,3,NA,Mahmood and Reisen,1981,"Duration of the gonotrophic cycles of anopheles culifacies giles and anopheles stephensi liston, with observations on reproductive activity and survivorship during winter in punjab province, pakistan",Pakistan,Punjab,Laboratory,Anopheles,culcifacies,27,4.47,4.38,4.56,2.01,1.98,2.04,,,,Table 1,Assumed second gonotrophic cycle for all subsequent,pdf,0.5,0.025,0.975,0.5,0.025,0.975
28,4,NA,Mahmood and Reisen,1981,"Duration of the gonotrophic cycles of anopheles culifacies giles and anopheles stephensi liston, with observations on reproductive activity and survivorship during winter in punjab province, pakistan",Pakistan,Punjab,Laboratory,Anopheles,stephensi,18,5.48,5.33,5.63,4.69,4.2,5.18,7.29,7.24,7.34,Table 1,Assumed second gonotrophic cycle for all subsequent. Used time from emergence to oviposition to estimate pre-gravid,pdf,0.5,0.025,0.975,0.5,0.025,0.975
28,5,NA,Mahmood and Reisen,1981,"Duration of the gonotrophic cycles of anopheles culifacies giles and anopheles stephensi liston, with observations on reproductive activity and survivorship during winter in punjab province, pakistan",Pakistan,Punjab,Laboratory,Anopheles,stephensi,22,3.51,3.36,3.66,3.14,2.31,3.97,,,,Table 1,Assumed second gonotrophic cycle for all subsequent,pdf,0.5,0.025,0.975,0.5,0.025,0.975
28,6,NA,Mahmood and Reisen,1981,"Duration of the gonotrophic cycles of anopheles culifacies giles and anopheles stephensi liston, with observations on reproductive activity and survivorship during winter in punjab province, pakistan",Pakistan,Punjab,Laboratory,Anopheles,stephensi,27,4.37,4.25,4.49,2.27,2.11,2.43,,,,Table 1,Assumed second gonotrophic cycle for all subsequent,pdf,0.5,0.025,0.975,0.5,0.025,0.975
29,1,NA,Ahumada,2004,"Modeling the Population Dynamics of Culex quinquefasciatus (Diptera: Culicidae), along an Elevational Gradient in Hawaii",USA,Hawaii,Unclear,Culex,quinquefasciatus,,7,6,8,7,6,8,,,,1160,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
30,1,NA,Kenawy,1991,"DEVELOPMENT AND SURVIVAL OF ANOPHELES PHAROENSIS AND AN. MULTICOLOR FROM FAIYUM, EGYPT",Egypt,Cairo,Laboratory,Anopheles,pharoensis,25.7,6.14,6,6.28,6.888571429,6.408571429,7.368571429,,,,Table 1,Weighted average of second and third gonotrophic cycles,pdf,0.5,0.16,0.84,0.5,0.16,0.84
30,2,NA,Kenawy,1991,"DEVELOPMENT AND SURVIVAL OF ANOPHELES PHAROENSIS AND AN. MULTICOLOR FROM FAIYUM, EGYPT",Egypt,Cairo,Laboratory,Anopheles,multicolor,25.7,7.37,6.75,7.99,5.5,5,6,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
31,1,NA,Rajagopalan,1980,"Population dynamics of Culex pipiensfatigans, the filariasis vector, in Pondicherry-Influence of climate and environment",India,Pondicherry,Unclear,Culex,quinquefasciatus,28.7,5,,,3,,,,,,747,,pdf,0.5,NA,NA,0.5,NA,NA
32,1,Various,Chandra,2008,"Age composition of incriminated malaria vector in a rural foothills in West Bengal, India",India,Purulia,Wild sampling analysis of parous rates,Anopheles,culcifacies,,4,3.25,5.5,4,3.25,5.5,,,,Table 2,"Lower bound is rainy season estimate, upper is winter",pdf,0.5,0.025,0.975,0.5,0.025,0.975
33,1,NA,Scholl et al.,1975,Aedes triseriatus: persistence of nulliparous females under field conditions,USA,NA,Laboratory,Aedes,triseriatus,22,5,,,5,,,,,,370,,pdf,0.5,NA,NA,0.5,NA,NA
34,1,Dry,Mala et al.,2014,"Gonotrophic cycle duration, fecundity and parity of Anopheles gambiae complex mosquitoes during an extended period of dry weather in a semi arid area in Baringo County, Kenya",Kenya,Baringo,Laboratory,Anopheles,gambiae,28.22,4.52,4.4,4.64,3,2.8,3.2,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
34,2,Wet,Mala et al.,2014,"Gonotrophic cycle duration, fecundity and parity of Anopheles gambiae complex mosquitoes during an extended period of dry weather in a semi arid area in Baringo County, Kenya",Kenya,Baringo,Laboratory,Anopheles,gambiae,27.12,6.14,5.87,6.41,4.1,3.8,4.4,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
35,1,Dry,Afrane et al.,2005,Effects of Microclimatic Changes Caused by Land Use and Land Cover on Duration of Gonotrophic Cycles of Anopheles gambiae (Diptera: Culicidae) in Western Kenya Highlands,Kenya,Kakamega,Laboratory,Anopheles,gambiae,23,4.6,1.9,7.3,3,1.9,4.1,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
35,2,Wet,Afrane et al.,2005,Effects of Microclimatic Changes Caused by Land Use and Land Cover on Duration of Gonotrophic Cycles of Anopheles gambiae (Diptera: Culicidae) in Western Kenya Highlands,Kenya,Kakamega,Laboratory,Anopheles,gambiae,24.8,2.9,1.2,4.6,2.1,1.8,2.4,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
35,3,Dry,Afrane et al.,2005,Effects of Microclimatic Changes Caused by Land Use and Land Cover on Duration of Gonotrophic Cycles of Anopheles gambiae (Diptera: Culicidae) in Western Kenya Highlands,Kenya,Kakamega,Laboratory,Anopheles,gambiae,21,10.1,4.3,15.9,6.6,4.2,9,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
35,4,Wet,Afrane et al.,2005,Effects of Microclimatic Changes Caused by Land Use and Land Cover on Duration of Gonotrophic Cycles of Anopheles gambiae (Diptera: Culicidae) in Western Kenya Highlands,Kenya,Kakamega,Laboratory,Anopheles,gambiae,22.2,8.6,3.7,13.5,5.2,2.6,7.8,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
35,5,Wet,Afrane et al.,2005,Effects of Microclimatic Changes Caused by Land Use and Land Cover on Duration of Gonotrophic Cycles of Anopheles gambiae (Diptera: Culicidae) in Western Kenya Highlands,Kenya,Kakamega,Laboratory,Anopheles,gambiae,24.9,4.3,2.2,6.4,3.8,1.1,6.5,,,,Table 1,,pdf,0.5,0.16,0.84,0.5,0.16,0.84
36,1,NA,Gillies,1961,"The Duration of the Gonotrophic Cycle in Anopheles gambiae and Anopheles funestus, with a Note on the Efficiency of Hand Catching",Tanzania,Tanganyika,Laboratory,Anopheles,gambiae,23.3,2,,,2,,,,,,Table 2,,pdf,0.5,NA,NA,0.5,NA,NA
36,2,NA,Gillies,1961,"The Duration of the Gonotrophic Cycle in Anopheles gambiae and Anopheles funestus, with a Note on the Efficiency of Hand Catching",Tanzania,Tanganyika,Laboratory,Anopheles,funestus,24.7,3,,,3,,,,,,Table 2,,pdf,0.5,NA,NA,0.5,NA,NA
36,3,NA,Gillies,1961,"The Duration of the Gonotrophic Cycle in Anopheles gambiae and Anopheles funestus, with a Note on the Efficiency of Hand Catching",Tanzania,Tanganyika,Laboratory,Anopheles,funestus,25.15,2.5,2,3,2.5,2,3,,,,Table 2,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
36,4,NA,Gillies,1961,"The Duration of the Gonotrophic Cycle in Anopheles gambiae and Anopheles funestus, with a Note on the Efficiency of Hand Catching",Tanzania,Tanganyika,Laboratory,Anopheles,funestus,25.6,2,,,2,,,,,,Table 2,,pdf,0.5,NA,NA,0.5,NA,NA
37,1,NA,Quinones et al.,1997,"Anopheles gambiae gonotrophic cycle duration,biting and exiting behaviour unaffected by permethrin-impregnated bednets in The Gambia",The Gambia,Mid-Gambia,MRR,Anopheles,gambiae,,2,,,2,,,,,,75,In text,pdf,0.5,NA,NA,0.5,NA,NA
38,1,NA,Rua et al.,2005,Laboratory estimation of the effects of increasing temperatures on the duration of gonotrophic cycle of Anopheles albimanus (Diptera: Culicidae),Colombia,Pacific coast,Laboratory,Anopheles,albimanus,24,3.683333333,3.411666667,3.954166667,3.683333333,3.411666667,3.954166667,,,,Abstract,,pdf,0.5,0.025,0.975,0.5,0.025,0.975
38,2,NA,Rua et al.,2005,Laboratory estimation of the effects of increasing temperatures on the duration of gonotrophic cycle of Anopheles albimanus (Diptera: Culicidae),Colombia,Pacific coast,Laboratory,Anopheles,albimanus,27,3.125,2.975,3.279166667,3.125,2.975,3.279166667,,,,Abstract,,pdf,0.5,0.025,0.975,0.5,0.025,0.975
38,3,NA,Rua et al.,2005,Laboratory estimation of the effects of increasing temperatures on the duration of gonotrophic cycle of Anopheles albimanus (Diptera: Culicidae),Colombia,Pacific coast,Laboratory,Anopheles,albimanus,30,2.879166667,2.691666667,3.066666667,2.879166667,2.691666667,3.066666667,,,,Abstract,,pdf,0.5,0.025,0.975,0.5,0.025,0.975
39,1,NA,Delatte et al.,2009,"Influence of Temperature on Immature Development, Survival, Longevity, Fecundity, and Gonotrophic Cycles of Aedes albopictus,Vector of Chikungunya and Dengue in the Indian Ocean",Reunion,Saint Pierre,Laboratory,Aedes,albopictus,20,6.7,5.9,7.5,8.4,6.8,10,,,,Table 5,Took subsequent cycle time to be 2nd gonotrophic cycle as sample sizes get quite small later on,pdf,0.5,0.16,0.84,0.5,0.16,0.84
39,2,NA,Delatte et al.,2009,"Influence of Temperature on Immature Development, Survival, Longevity, Fecundity, and Gonotrophic Cycles of Aedes albopictus,Vector of Chikungunya and Dengue in the Indian Ocean",Reunion,Saint Pierre,Laboratory,Aedes,albopictus,25,4,3.7,4.3,4.4,3.8,5,,,,Table 5,Took subsequent cycle time to be 2nd gonotrophic cycle as sample sizes get quite small later on,pdf,0.5,0.16,0.84,0.5,0.16,0.84
39,3,NA,Delatte et al.,2009,"Influence of Temperature on Immature Development, Survival, Longevity, Fecundity, and Gonotrophic Cycles of Aedes albopictus,Vector of Chikungunya and Dengue in the Indian Ocean",Reunion,Saint Pierre,Laboratory,Aedes,albopictus,30,2.9,2.8,3,2.9,2.8,3,,,,Table 5,Took subsequent cycle time to be 2nd gonotrophic cycle as sample sizes get quite small later on,pdf,0.5,0.16,0.84,0.5,0.16,0.84
39,4,NA,Delatte et al.,2009,"Influence of Temperature on Immature Development, Survival, Longevity, Fecundity, and Gonotrophic Cycles of Aedes albopictus,Vector of Chikungunya and Dengue in the Indian Ocean",Reunion,Saint Pierre,Laboratory,Aedes,albopictus,35,4.7,3.9,5.5,3.3,3,3.6,,,,Table 5,Took subsequent cycle time to be 2nd gonotrophic cycle as sample sizes get quite small later on,pdf,0.5,0.16,0.84,0.5,0.16,0.84
40,1,NA,Arrendondo-Jimenez et al.,1998,Gonotrophic Cycle and Survivorship of Anopheles vestitipennis (Diptera: Culicidae) in Two Different Ecological Areas of Southern Mexico,Mexico,Chiapas,Laboratory,Anopheles,vestitipennis,,3.75,,,3.75,,,,,,Abstract,,pdf,0.5,NA,NA,0.5,NA,NA
40,2,NA,Arrendondo-Jimenez et al.,1998,Gonotrophic Cycle and Survivorship of Anopheles vestitipennis (Diptera: Culicidae) in Two Different Ecological Areas of Southern Mexico,Mexico,Chiapas,MRR,Anopheles,vestitipennis,,3,,,3,,,,,,Abstract,,pdf,0.5,NA,NA,0.5,NA,NA
40,3,NA,Arrendondo-Jimenez et al.,1998,Gonotrophic Cycle and Survivorship of Anopheles vestitipennis (Diptera: Culicidae) in Two Different Ecological Areas of Southern Mexico,Mexico,Chiapas,MRR,Anopheles,vestitipennis,,2.5,2,3,2.5,2,3,,,,Abstract,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
41,1,NA,Wong et al.,2011,"Sampling Considerations for Designing Aedes aegypti (Diptera: Culicidae) Oviposition Studies in Iquitos, Peru: Substrate Preference, Diurnal Periodicity, and Gonotrophic Cycle Length",Peru,Iquitos,Laboratory,Aedes,aegypti,,3.5,3,4,3.5,3,4,,,,Abstract,,pdf,Halfway between lower and upper,0.025,0.975,Halfway between lower and upper,0.025,0.975
42,1,NA,Jumba et al.,2002,Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania,Tanzania,Lower Moshi,Monitoring of wild caught specimens,Anopheles,gambiae,,2.9,,,2.9,,,,,,Table 6,,pdf,0.5,NA,NA,0.5,NA,NA
42,2,NA,Jumba et al.,2002,Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania,Tanzania,Lower Moshi,Monitoring of wild caught specimens,Anopheles,gambiae,,2.8,,,2.8,,,,,,Table 6,,pdf,0.5,NA,NA,0.5,NA,NA
42,3,NA,Jumba et al.,2002,Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania,Tanzania,Lower Moshi,Monitoring of wild caught specimens,Anopheles,gambiae,,2.8,,,2.8,,,,,,Table 6,,pdf,0.5,NA,NA,0.5,NA,NA
